thinkBack: Stock quote and option quote for EBAY on 10/31/13 12:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
52.725,-.615,"8,700,053",53.51,53.51,52.5156

Theo parameters
Theo date,Theo stock price,Theo volatility
11/2/13,+.00,+0.00%

NOV1 13  (2)  100 (Weeklys)
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic

JAN 15  (443)  100
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
.86,.01,.00,.13,.35,16.38,32.55%,77.08%,22.92%,41.95%,0,127,14.725,1.65,16.30,16.45,JAN 15,38,1.23,1.27,-.12,.01,.00,.12,-.09,1.25,30.23%,20.47%,79.53%,37.79%,1,"5,532",0,1.25
.83,.01,-.01,.14,.36,14.78,31.81%,73.26%,26.74%,48.84%,5,528,12.725,2.05,14.70,14.85,JAN 15,40,1.60,1.65,-.15,.01,.00,.14,-.12,1.63,29.66%,24.50%,75.50%,45.12%,0,"1,838",0,1.625
.78,.02,-.01,.17,.35,12.53,30.85%,66.94%,33.06%,60.16%,0,132,9.725,2.80,12.45,12.60,JAN 15,43,2.32,2.43,-.21,.02,-.01,.17,-.16,2.38,29.11%,31.41%,68.59%,57.56%,15,"7,127",0,2.375
.74,.02,-.01,.19,.34,11.13,30.24%,62.46%,37.54%,68.14%,0,707,7.725,3.40,11.05,11.20,JAN 15,45,2.92,2.96,-.25,.02,-.01,.19,-.19,2.94,28.50%,36.06%,63.94%,65.92%,81,"3,849",0,2.94
.70,.02,-.01,.20,.33,9.80,29.60%,57.86%,42.14%,76.28%,0,310,5.725,4.075,9.75,9.85,JAN 15,47,3.60,3.70,-.30,.02,-.01,.20,-.22,3.65,28.19%,41.13%,58.87%,74.89%,30,"3,107",0,3.65
.63,.02,-.01,.22,.31,8.02,28.88%,50.68%,49.32%,88.83%,59,"2,318",2.725,5.30,7.95,8.10,JAN 15,50,4.80,4.90,-.37,.02,-.01,.22,-.27,4.85,27.51%,48.67%,51.33%,88.16%,5,"7,025",0,4.85
.57,.02,-.01,.23,.28,6.75,28.49%,44.68%,55.32%,99.10%,26,"3,620",.225,6.525,6.70,6.80,JAN 15,52.5,6.00,6.15,-.43,.02,-.01,.23,-.32,6.07,27.20%,55.00%,45.00%,99.05%,1,"2,798",0,6.075
.51,.02,-.01,.23,.26,5.65,28.23%,38.91%,61.09%,87.36%,4,"2,363",0,5.65,5.60,5.70,JAN 15,55,7.40,7.55,-.49,.03,-.01,.23,-.36,7.47,26.99%,61.05%,38.95%,86.90%,0,794,2.275,5.20
.45,.02,-.01,.23,.23,4.68,27.92%,33.52%,66.48%,74.57%,0,"1,262",0,4.675,4.60,4.75,JAN 15,57.5,8.95,9.05,-.55,.03,-.01,.23,-.40,9.00,26.70%,66.69%,33.31%,73.66%,0,434,4.775,4.225
.40,.02,-.01,.22,.21,3.85,27.69%,28.57%,71.43%,63.08%,8,"3,139",0,3.85,3.80,3.90,JAN 15,60,10.60,10.75,-.61,.02,-.01,.22,-.43,10.67,26.47%,71.85%,28.15%,61.79%,0,"2,179",7.275,3.40
.34,.02,-.01,.21,.18,3.15,27.48%,24.11%,75.89%,52.89%,0,970,0,3.15,3.10,3.20,JAN 15,62.5,12.40,12.55,-.67,.02,-.01,.21,-.45,12.48,26.25%,76.48%,23.52%,51.29%,0,112,9.775,2.70
.30,.02,-.01,.20,.16,2.57,27.35%,20.19%,79.81%,44.04%,20,"2,204",0,2.57,2.52,2.62,JAN 15,65,14.35,14.50,-.71,.02,-.01,.20,-.47,14.43,26.24%,80.44%,19.56%,42.44%,0,151,12.275,2.15
